Parent Container,Container Id,Container Type,Dwell Time,Container Count,Stacking Filter,Force Moved Status,Scheduled Departure Time
"CART_00p1yrpr_S","SBxbhTb0jX_001_v","PACKAGE","1 hr 35 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBk15wcf2X_001_v","PACKAGE","42 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBsZYlN0NX_001_v","PACKAGE","41 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBf32jS0xX_001_v","PACKAGE","40 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBWdCpX0DX_001_v","PACKAGE","2 hrs 40 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBWF3HxfLX_001_v","PACKAGE","1 hr 37 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"","FR-10825","STACKING_AREA","","1 items","","false","null",
"FR-10825","CART_00nw27c7_S","CART","6 hrs 7 mins","119 items","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00nw27c7_S","SBfgJKLL8X_001_v","PACKAGE","4 hrs 59 mins","","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00nw27c7_S","SBqxFywfrX_001_v","PACKAGE","1 hr 58 mins","","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00nw27c7_S","SBf87gQ04X_001_v","PACKAGE","4 hrs 1 min","","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00nw27c7_S","SB7fx1YfpX_001_v","PACKAGE","55 mins","","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00nw27c7_S","SBhQl2fLWX_001_v","PACKAGE","5 hrs 53 mins","","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00nw27c7_S","SBqNL4Nf8X_001_v","PACKAGE","2 hrs 7 mins","","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00nw27c7_S","SBHfH2ypDX_001_v","PACKAGE","1 hr 59 mins","","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00nw27c7_S","SBqnf5ZLDX_001_v","PACKAGE","5 hrs 30 mins","","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
"CART_00nw27c7_S","SBhtBK40LX_001_v","PACKAGE","4 hrs 21 mins","","YHM5-DOI3-CART-FLATS-SPG","false","03-Nov-25 18:00",
